,Unnamed: 0,file_name,ICM,state,TE,ZP
0,155,Blast_PCRM_R14-0394a.BMP,A,0,A,3
1,37,Blast_PCRM_R12-0508a.BMP,A,0,B,3
2,192,Blast_PCRM_R16-0233B.BMP,A,0,A,2
3,110,Blast_PCRM_R14-0068.BMP,A,0,A,2
4,245,Blast_PCRM_d5.22.BMP,A,0,B,2
5,125,Blast_PCRM_R14-0238.BMP,B,0,B,2
6,210,Blast_PCRM_R16-0347A.BMP,A,0,A,2
7,233,Blast_PCRM_1202834 D5.BMP,A,0,A,3
8,227,Blast_PCRM_1202183 D5.BMP,A,0,B,3
9,78,Blast_PCRM_R13-0163.BMP,A,0,A,3
10,56,Blast_PCRM_R13-0052B.BMP,C,0,C,2
11,129,Blast_PCRM_R14-0296.BMP,B,0,B,2
12,184,Blast_PCRM_R16-0191A.BMP,A,0,A,2
13,67,Blast_PCRM_R13-0081A.BMP,A,0,B,2
14,80,Blast_PCRM_R13-0167b.BMP,B,0,B,2
15,0,Blast_PCRM_R12-0137.BMP,A,0,A,4
16,222,Blast_PCRM_2 x 2AB d5 right.BMP,A,0,B,2
17,9,Blast_PCRM_R12-0254b.BMP,A,0,B,3
18,226,Blast_PCRM_1202182 D5.BMP,A,0,B,4
19,143,Blast_PCRM_R14-0354a.BMP,A,0,B,2
20,41,Blast_PCRM_R13-0006A.BMP,A,0,B,2
21,43,Blast_PCRM_R13-0008B.BMP,B,0,C,2
22,120,Blast_PCRM_R14-0163.BMP,A,0,B,2
23,152,Blast_PCRM_R14-0379.BMP,A,0,C,3
24,59,Blast_PCRM_R13-0065A.BMP,A,0,A,2
25,6,Blast_PCRM_R12-0223a.BMP,A,0,B,4
26,173,Blast_PCRM_R16-0099b.BMP,A,0,A,4
27,89,Blast_PCRM_R13-0298.BMP,A,0,A,4
28,179,Blast_PCRM_R16-0138a.BMP,B,0,A,4
29,124,Blast_PCRM_R14-0214.BMP,A,0,A,4
30,203,Blast_PCRM_R16-0297B.BMP,A,0,A,2
31,235,Blast_PCRM_d5.1.BMP,A,0,B,3
32,165,Blast_PCRM_R16-0030b.BMP,A,0,A,3
33,209,Blast_PCRM_R16-0344A.BMP,B,0,A,2
34,160,Blast_PCRM_R14-0409b.BMP,A,0,B,3
35,206,Blast_PCRM_R16-0330A.BMP,A,0,A,3
36,123,Blast_PCRM_R14-0186.BMP,A,0,B,4
37,185,Blast_PCRM_R16-0195A.BMP,A,0,B,4
38,63,Blast_PCRM_R13-0077A.BMP,B,0,A,3
39,79,Blast_PCRM_R13-0167a.BMP,B,0,B,2
40,27,Blast_PCRM_R12-0354.BMP,A,0,A,4
41,140,Blast_PCRM_R14-0348a.BMP,A,0,A,4
42,45,Blast_PCRM_R13-0009B.BMP,A,0,B,2
43,186,Blast_PCRM_R16-0198A.BMP,A,0,B,2
44,117,Blast_PCRM_R14-0116.BMP,A,0,A,3
45,115,Blast_PCRM_R14-0110.BMP,A,0,A,4
46,211,Blast_PCRM_R16-0367B.BMP,A,0,A,3
47,147,Blast_PCRM_R14-0367b.BMP,B,0,A,2
48,29,Blast_PCRM_R12-0358b.BMP,A,0,A,2
49,44,Blast_PCRM_R13-0009A.BMP,B,0,B,3
50,133,Blast_PCRM_R14-0324b.BMP,A,0,A,2
51,138,Blast_PCRM_R14-0335a.BMP,A,0,A,3
52,35,Blast_PCRM_R12-0499a.BMP,A,0,A,3
53,3,Blast_PCRM_R12-0173b.BMP,A,0,A,2
54,42,Blast_PCRM_R13-0006B.BMP,B,0,A,3
55,4,Blast_PCRM_R12-0221a.BMP,A,0,A,3
56,200,Blast_PCRM_R16-0274A.BMP,B,0,A,3
57,113,Blast_PCRM_R14-0073.BMP,B,0,A,3
58,216,Blast_PCRM_R16-0421A.BMP,A,0,B,4
59,242,Blast_PCRM_d5.14.BMP,B,0,A,4
60,28,Blast_PCRM_R12-0358a.BMP,A,0,A,3
61,194,Blast_PCRM_R16-0247A.BMP,B,0,A,4
62,139,Blast_PCRM_R14-0342b.BMP,B,0,B,3
63,61,Blast_PCRM_R13-0073A.BMP,A,0,A,3
64,92,Blast_PCRM_R13-0322b.BMP,A,0,A,3
65,39,Blast_PCRM_R12-0519b.BMP,A,0,B,3
66,83,Blast_PCRM_R13-0235a.BMP,A,0,A,3
67,90,Blast_PCRM_R13-0309b.BMP,A,0,B,2
68,18,Blast_PCRM_R12-0315.BMP,A,0,A,3
69,136,Blast_PCRM_R14-0328a.BMP,A,0,A,3
